X,Y,GROUP,BIODIESEL BLEND
3500,0.629381443298969,0, B100
3500,0.252061855670103,0, B50
3500,0.310824742268041,0, B30
3500,0.208762886597938,0, B20
3500,0.598453608247423,0, B10
3500,0.199484536082474,0, B00
3000,0.561340206185567,1, B100
3000,0.250515463917526,1, B50
3000,0.281443298969072,1, B30
3000,0.218041237113402,1, B20
3000,0.499484536082474,1, B10
3000,0.250515463917526,1, B00
2500,0.330927835051546,2, B100
2500,0.201030927835051,2, B50
2500,0.230412371134021,2, B30
2500,0.188659793814433,2, B20
2500,0.281443298969072,2, B10
2500,0.15,2, B00
2000,0.380412371134021,3, B100
2000,0.261340206185567,3, B50
2000,0.330927835051546,3, B30
2000,0.289175257731959,3, B20
2000,0.341752577319588,3, B10
2000,0.199484536082474,3, B00
1500,0.521134020618557,4, B100
1500,0.440721649484536,4, B50
1500,0.603092783505155,4, B30
1500,0.419072164948454,4, B20
1500,0.533505154639175,4, B10
1500,0.261340206185567,4, B00
