X,Y,GROUP,BIODIESEL_BLEND
3500,1.46856581532416,0, B100
3500,2.12180746561886,0, B50
3500,1.54223968565815,0, B30
3500,1.75834970530452,0, B20
3500,1.42436149312377,0, B10
3500,2.13654223968566,0, B00
3000,1.38506876227898,1, B100
3000,1.97445972495088,1, B50
3000,1.60609037328094,1, B30
3000,1.56679764243615,1, B20
3000,1.29174852652259,1, B10
3000,2.25933202357564,1, B00
2500,1.2573673870334,2, B100
2500,1.8860510805501,2, B50
2500,1.51768172888016,2, B30
2500,1.67485265225933,2, B20
2500,1.31139489194499,2, B10
2500,2.30353634577603,2, B00
2000,0.879174852652259,3, B100
2000,1.34086444007859,3, B50
2000,1.05108055009823,3, B30
2000,1.09037328094303,3, B20
2000,0.923379174852652,3, B10
2000,1.57170923379175,3, B00
1500,0.550098231827112,4, B100
1500,0.839882121807465,4, B50
1500,0.550098231827112,4, B30
1500,0.800589390962672,4, B20
1500,0.510805500982318,4, B10
1500,1.01178781925344,4, B00
